customer_id,name,count
5,Elizabeth Brown,1
9,Margaret Moore,1
11,Lisa Anderson,1
14,Betty White,1
15,Helen Harris,2
21,Michelle Clark,1
22,Laura Rodriguez,1
23,Sarah Lewis,1
28,Cynthia Young,1
29,Angela Hernandez,1
33,Anna Hill,1
41,Stephanie Mitchell,1
42,Carolyn Perez,2
43,Christine Roberts,2
44,Marie Turner,1
52,Julie Sanchez,1
53,Heather Morris,2
56,Gloria Cook,1
58,Jean Bell,1
60,Mildred Bailey,2
64,Judith Cox,1
69,Judy Gray,1
73,Beverly Brooks,1
75,Tammy Sanders,3
80,Marilyn Ross,1
83,Louise Jenkins,1
87,Wanda Patterson,1
91,Lois Butler,1
94,Norma Gonzales,1
99,Emily Diaz,1
100,Robin Hayes,1
101,Peggy Myers,1
107,Florence Woods,2
108,Tracy Cole,1
111,Carmen Owens,1
114,Grace Ellis,1
115,Wendy Harrison,1
120,Sylvia Ortiz,1
135,Juanita Mason,1
142,April Burns,1
152,Alicia Mills,1
155,Gail Knight,2
162,Lauren Hudson,1
163,Cathy Spencer,2
168,Regina Berry,1
175,Annette Olson,2
178,Marion Snyder,1
180,Stacy Cunningham,1
181,Ana Bradley,1
186,Holly Fox,1
188,Melanie Armstrong,1
190,Yolanda Weaver,1
191,Jeanette Greene,1
192,Laurie Lawrence,1
193,Katie Elliott,1
199,Beth Franklin,1
200,Jeanne Lawson,1
208,Lucy Wheeler,2
211,Stacey Montgomery,1
213,Gina Williamson,1
214,Kristin Johnston,1
215,Jessie Banks,1
216,Natalie Meyer,2
219,Willie Howell,1
227,Colleen Burton,1
228,Allison Stanley,2
229,Tamara Nguyen,1
234,Claudia Fuller,1
236,Marcia Dean,1
244,Viola Hanson,1
245,Courtney Day,1
251,Vickie Brewer,1
252,Mattie Hoffman,1
263,Hilda Hopkins,1
264,Gwendolyn May,1
267,Margie Wade,2
269,Cassandra Walters,2
274,Naomi Jennings,1
279,Dianne Shelton,1
282,Jenny Castro,1
284,Sonia Gregory,2
287,Becky Miles,1
295,Daisy Bates,1
296,Ramona Hale,1
300,John Farnsworth,1
315,Kenneth Gooden,1
317,Edward Baugh,1
324,Gary Coy,1
327,Larry Thrasher,1
330,Scott Shelley,1
334,Raymond Mcwhorter,1
335,Gregory Mauldin,1
336,Joshua Mark,1
337,Jerry Jordon,1
349,Joe Gilliland,1
352,Albert Crouse,1
354,Justin Ngo,2
355,Terry Grissom,1
359,Willie Markham,1
361,Lawrence Lawton,2
366,Brandon Huey,1
369,Fred Wheat,1
373,Louis Leone,1
374,Jeremy Hurtado,1
388,Craig Morrell,1
394,Chris Brothers,1
405,Leonard Schofield,1
410,Curtis Irby,1
411,Norman Currier,1
412,Allen Butterfield,1
417,Travis Estep,1
421,Lee Hawks,1
422,Melvin Ellington,1
424,Kyle Spurlock,1
431,Joel Francisco,1
438,Barry Lovelace,1
440,Bernard Colby,1
441,Mario Cheatham,1
448,Miguel Betancourt,2
450,Jay Robb,1
452,Tom Milner,1
457,Bill Gavin,2
472,Greg Robins,1
474,Dustin Gillette,1
476,Derrick Bourque,1
479,Zachary Hite,1
493,Brent Harkins,1
495,Charlie Bess,1
496,Tyler Wren,1
497,Gilbert Sledge,1
505,Rafael Abney,1
508,Milton Howland,1
512,Cecil Vines,1
516,Elmer Noe,2
521,Roland South,1
525,Adrian Clary,1
527,Cory Meehan,1
530,Darryl Ashcraft,1
532,Neil Renner,1
533,Jessie Milam,1
534,Christian Jung,1
537,Clinton Buford,1
548,Allan Cornish,1
550,Guy Brownlee,1
554,Dwayne Olvera,1
557,Felix Gaffney,1
560,Jordan Archuleta,2
561,Ian Still,1
568,Alberto Henning,1
570,Ivan Cromwell,1
576,Morris Mccarter,2
579,Daryl Larue,1
582,Andy Vanhorn,1
585,Perry Swafford,1
587,Sergio Stanfield,1
590,Seth Hannon,1
592,Terrance Roush,1
596,Enrique Forsythe,1
597,Freddie Duggan,1
